Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
Iceland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","53,227.63","62,530.42","73,085.13","75,259.67","69,572.37","59,633.72","65,273.42",2018
India,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,605.61","1,732.05","1,980.69","1,996.95","2,098.93","1,964.88","2,190.90",2013
Indonesia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,367.69","3,605.72","3,885.47","3,947.25","4,196.30","3,921.62","4,256.34",2020
Islamic Republic of Iran,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,844.50","5,195.91","5,471.79","5,543.84","6,980.39","7,554.77","8,034.09",2019
Iraq,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,044.62","4,637.00","5,178.92","5,690.51","5,686.61","4,288.77","4,632.15",2013
Ireland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","61,951.73","62,696.32","69,950.66","79,143.80","80,481.69","83,849.81","94,555.79",2019
Israel,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","35,828.17","37,293.84","40,491.33","41,720.58","43,603.01","43,688.58","47,602.11",2019
Italy,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","30,213.10","30,932.78","32,367.11","34,605.68","33,219.85","31,288.02","34,996.91",2019
Jamaica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,204.83","5,183.46","5,413.03","5,729.76","5,781.79","5,095.64","5,327.73",2019
Japan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","35,005.66","39,411.42","38,903.30","39,818.80","40,801.66","40,146.07","42,927.73",2015
Jordan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,218.83","4,224.80","4,273.91","4,341.04","4,425.69","4,259.26","4,358.27",2018
Kazakhstan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,435.17","7,662.01","9,186.71","9,749.07","9,750.43","8,732.64","9,827.64",2019
Kenya,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,483.48","1,561.86","1,737.80","1,888.20","2,004.42","2,039.05","2,129.31",2019
Kiribati,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,556.50","1,598.89","1,656.63","1,748.65","1,695.30","1,687.51","1,917.50",2017
Korea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","28,737.44","29,274.23","31,600.73","33,433.17","31,846.28","31,496.77","34,865.72",2019
Kosovo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,637.44","3,766.22","4,027.27","4,432.56","4,418.54","4,309.84","4,855.72",0
Kuwait,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","27,398.08","25,267.15","27,193.90","30,436.42","28,339.16","22,105.09","25,289.93",2018
Kyrgyz Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,132.84","1,131.84","1,254.51","1,321.95","1,323.47","1,146.39","1,122.57",2019
Lao P.D.R.,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,130.63","2,323.36","2,452.97","2,567.89","2,625.49","2,625.53","2,773.08",2019
Latvia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,722.08","14,253.04","15,613.44","17,799.83","17,739.47","17,559.86","19,824.23",2019
Lebanon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,644.55","7,626.30","7,792.60","8,012.54","7,668.34","2,802.14",n/a,2012
Lesotho,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,106.83","1,105.77","1,166.07","1,140.51","1,117.39","1,002.98","1,177.93",2016
Liberia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",746.238,767.874,766.314,731.317,669.271,646.27,700.469,2016
Libya,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,723.37","2,907.46","4,685.07","6,361.58","6,055.46","3,280.83","3,616.57",2017
Lithuania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","14,265.41","15,004.19","16,879.45","19,184.84","19,552.90","19,916.50","22,244.97",2019
Luxembourg,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","102,625.13","105,364.22","108,621.75","117,859.72","115,838.77","116,921.11","131,781.72",2020
Macao SAR,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","69,666.75","69,910.52","77,257.33","82,862.88","81,156.61","36,350.16","58,003.70",2019
Madagascar,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",467.235,476.226,515.935,533.197,539.953,501.756,521.485,2010
Malawi,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",353.507,294.756,325.01,350.441,377.721,406.65,431.581,2016
Malaysia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,663.11","9,523.30","9,965.12","11,077.43","11,213.12","10,269.86","11,603.69",2019
Maldives,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,781.03","12,348.71","13,201.45","14,476.59","15,148.80","9,934.09","11,800.60",2014
Mali,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",773.945,804.081,854.976,922.55,907.218,897.287,983.379,2017
Malta,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","25,228.18","25,972.39","28,713.10","31,263.20","30,832.79","28,293.63","31,576.37",2020
Marshall Islands,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,406.48","3,720.62","3,898.58","4,061.68","4,363.11","4,240.10","4,205.50",2018
Mauritania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,668.07","1,690.81","1,747.75","1,775.32","1,953.87","1,971.45","2,178.89",2014
Mauritius,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,258.56","9,681.42","10,485.01","11,205.90","11,090.43","8,993.48","9,639.31",2018
Mexico,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,657.12","8,788.59","9,342.92","9,753.19","10,024.42","8,421.19","9,246.01",2020
Micronesia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,050.72","3,197.21","3,522.11","3,854.14","3,952.22","3,899.48","3,820.72",2018
Moldova,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,715.78","2,857.88","3,478.52","4,141.84","4,458.19","4,365.85","4,637.58",2019
